Voltage,Current
35.00083,1.029472e-08
35.10063,1.179873e-08
35.19983,1.050948e-08
35.3029,1.047482e-08
35.4058,1.046616e-08
35.50553,1.050238e-08
35.60559,1.033461e-08
35.70536,1.036785e-08
35.80844,1.037975e-08
35.91119,1.037219e-08
36.01098,1.036228e-08
36.11003,1.037454e-08
36.20989,1.039123e-08
36.31278,1.041361e-08
36.41589,1.04405e-08
36.51606,1.046934e-08
36.61582,1.046846e-08
36.71537,1.048316e-08
36.81848,1.050947e-08
36.92097,1.054018e-08
37.02065,1.056913e-08
37.12023,1.059897e-08
37.22001,1.063278e-08
37.32331,1.066526e-08
37.42622,1.069842e-08
37.5258,1.074059e-08
37.62555,1.075299e-08
37.72552,1.079644e-08
37.82795,1.08537e-08
37.93105,1.0913e-08
38.03049,1.097394e-08
38.13036,1.108624e-08
38.23044,1.123267e-08
38.33356,1.148392e-08
38.43632,1.198369e-08
38.53609,1.320238e-08
38.63505,1.656282e-08
38.73461,2.525937e-08
38.83689,4.302722e-08
38.93582,6.879043e-08
39.04122,1.046319e-07
39.14078,1.457034e-07
39.24026,1.948206e-07
39.34312,2.444912e-07
39.44225,3.130102e-07
39.54493,3.813945e-07
39.64439,4.564791e-07
39.74408,5.363677e-07
39.84698,6.074596e-07
39.94681,7.198397e-07
40.04943,8.279693e-07
40.14858,9.197598e-07
40.25447,1.040775e-06
40.35343,1.176306e-06
40.45314,1.309552e-06
40.55589,1.444941e-06
40.65572,1.585392e-06
40.75912,1.735034e-06
40.85863,1.907944e-06
40.95818,2.06839e-06
41.06105,2.247318e-06
41.16027,2.419088e-06
41.26329,2.604906e-06
41.36277,2.795279e-06
41.46249,2.996349e-06
41.566,3.176258e-06
41.66561,3.431876e-06
41.76874,3.562222e-06
41.86829,3.791278e-06
41.96804,4.142628e-06
42.07022,4.257166e-06
42.16994,4.636541e-06
42.27294,4.861624e-06
42.37255,5.173e-06
42.47234,5.452513e-06
42.57197,5.632214e-06
42.6747,5.992215e-06
42.77791,6.390837e-06
42.87691,6.69989e-06
42.97647,7.045089e-06
43.07587,7.366595e-06
43.17884,7.751026e-06
43.28247,8.094171e-06
43.38186,8.483871e-06
43.48141,8.632163e-06
43.58099,9.234357e-06
43.68341,9.66083e-06
43.78651,1.008627e-05
43.88883,1.036917e-05
43.98834,1.099554e-05
44.0882,1.12586e-05
44.19125,1.181047e-05
44.2944,1.221639e-05
44.39383,1.252421e-05
44.4936,1.30051e-05
44.59267,1.355108e-05
44.69571,1.426447e-05
44.79879,1.457579e-05
44.89838,1.518743e-05
44.99866,1.594227e-05
