Voltage,Current
3.471239E+01,1.049964E-08
3.510069E+01,9.053449E-09
3.519994E+01,8.989108E-09
3.530296E+01,8.937540E-09
3.540586E+01,8.867945E-09
3.550562E+01,9.065831E-09
3.560573E+01,9.053621E-09
3.570551E+01,8.868318E-09
3.580864E+01,9.175760E-09
3.591133E+01,9.246622E-09
3.599012E+01,9.283526E-09
3.608822E+01,9.357933E-09
3.620994E+01,9.447664E-09
3.631289E+01,9.514984E-09
3.641596E+01,9.595273E-09
3.651616E+01,9.672361E-09
3.661584E+01,9.752211E-09
3.671545E+01,9.842905E-09
3.681851E+01,9.940653E-09
3.692100E+01,1.003476E-08
3.702071E+01,1.015108E-08
3.712031E+01,1.028424E-08
3.722004E+01,1.042213E-08
3.732341E+01,1.058757E-08
3.742632E+01,1.077946E-08
3.752592E+01,1.100421E-08
3.762568E+01,1.126550E-08
3.772565E+01,1.159293E-08
3.782796E+01,1.200884E-08
3.793095E+01,1.258297E-08
3.803041E+01,1.338641E-08
3.813021E+01,1.486562E-08
3.823034E+01,1.623667E-08
3.833318E+01,2.307715E-08
3.843544E+01,3.945872E-08
3.853368E+01,8.328279E-08
3.863520E+01,1.854853E-07
3.873448E+01,3.576498E-07
3.883670E+01,6.049837E-07
3.893555E+01,8.996947E-07
3.904118E+01,1.276215E-06
3.914075E+01,1.693222E-06
3.924028E+01,2.158448E-06
3.934313E+01,2.703484E-06
3.944227E+01,3.280660E-06
3.954498E+01,3.927168E-06
3.964445E+01,4.612817E-06
3.974410E+01,5.362609E-06
3.984703E+01,6.188505E-06
3.994695E+01,7.039140E-06
4.004962E+01,7.991020E-06
4.014880E+01,8.964319E-06
4.025180E+01,1.001487E-05
4.035331E+01,1.108855E-05
4.045309E+01,1.220715E-05
4.055589E+01,1.345620E-05
4.065562E+01,1.469989E-05
4.075903E+01,1.611279E-05
4.085852E+01,1.746731E-05
4.095811E+01,1.892346E-05
4.106101E+01,2.044773E-05
4.116014E+01,2.202349E-05
4.126328E+01,2.377248E-05
4.136266E+01,2.549567E-05
4.146239E+01,2.726566E-05
4.156592E+01,2.919212E-05
4.166554E+01,3.108975E-05
4.176860E+01,3.325721E-05
4.186818E+01,3.518509E-05
4.196800E+01,3.752064E-05
4.207019E+01,3.980989E-05
4.216985E+01,4.208706E-05
4.227275E+01,4.466529E-05
4.237240E+01,4.705549E-05
4.247222E+01,4.951840E-05
4.257178E+01,5.226637E-05
4.267454E+01,5.515984E-05
4.277777E+01,5.801232E-05
4.287669E+01,6.084699E-05
4.297631E+01,6.388758E-05
4.307574E+01,6.697570E-05
4.317868E+01,7.022448E-05
4.328233E+01,7.388668E-05
4.338179E+01,7.726307E-05
4.348126E+01,8.091839E-05
4.358078E+01,8.435803E-05
4.368331E+01,8.867369E-05
4.378628E+01,9.234058E-05
4.388591E+01,9.643500E-05
4.398531E+01,1.008040E-04
4.408821E+01,1.050333E-04
4.419127E+01,1.094216E-04
4.429449E+01,1.143243E-04
4.439385E+01,1.194939E-04
4.449368E+01,1.245732E-04
4.459273E+01,1.298135E-04
4.469575E+01,1.350579E-04
4.479880E+01,1.409401E-04
4.489847E+01,1.464854E-04
4.499870E+01,1.521658E-04
