Voltage,Current
3.500138E+01,7.353448E-09
3.510113E+01,5.070862E-09
3.519493E+01,3.608189E-09
3.530332E+01,4.864991E-09
3.540617E+01,4.630501E-09
3.550592E+01,4.679920E-09
3.560595E+01,4.537585E-09
3.570576E+01,4.666479E-09
3.580885E+01,4.711045E-09
3.591161E+01,4.717094E-09
3.601141E+01,4.717879E-09
3.611049E+01,4.725512E-09
3.621027E+01,4.737710E-09
3.631315E+01,4.745829E-09
3.641623E+01,4.758921E-09
3.651641E+01,4.771338E-09
3.661618E+01,4.786949E-09
3.671577E+01,4.805683E-09
3.681879E+01,4.825105E-09
3.692126E+01,4.844404E-09
3.702098E+01,4.860924E-09
3.712057E+01,4.881349E-09
3.722033E+01,4.905089E-09
3.732370E+01,4.934991E-09
3.742664E+01,4.965949E-09
3.752620E+01,4.998568E-09
3.762592E+01,5.036255E-09
3.772593E+01,5.078149E-09
3.782831E+01,5.128718E-09
3.793139E+01,5.192742E-09
3.803087E+01,5.271300E-09
3.813067E+01,5.378446E-09
3.823083E+01,5.584552E-09
3.833364E+01,5.993908E-09
3.843424E+01,6.992340E-09
3.853622E+01,9.892505E-09
3.863512E+01,1.690444E-08
3.873449E+01,3.039676E-08
3.883669E+01,5.172587E-08
3.893562E+01,7.810259E-08
3.904130E+01,1.121452E-07
3.914084E+01,1.503883E-07
3.924029E+01,1.935780E-07
3.934322E+01,2.438702E-07
3.944234E+01,2.970744E-07
3.954506E+01,3.593164E-07
3.964449E+01,4.245093E-07
3.974419E+01,4.926704E-07
3.984712E+01,5.692747E-07
3.994703E+01,6.511873E-07
4.004972E+01,7.361959E-07
4.014895E+01,8.325146E-07
4.025198E+01,9.278809E-07
4.035066E+01,1.027121E-06
4.045326E+01,1.138097E-06
4.055605E+01,1.250609E-06
4.065586E+01,1.374774E-06
4.075937E+01,1.501950E-06
4.085889E+01,1.633229E-06
4.095839E+01,1.780491E-06
4.106131E+01,1.908918E-06
4.116052E+01,2.054634E-06
4.126363E+01,2.217812E-06
4.136302E+01,2.361024E-06
4.146274E+01,2.541510E-06
4.156625E+01,2.705776E-06
4.166591E+01,2.887801E-06
4.176895E+01,3.066927E-06
4.186858E+01,3.265558E-06
4.196832E+01,3.469493E-06
4.207048E+01,3.683247E-06
4.217023E+01,3.904257E-06
4.227314E+01,4.112863E-06
4.237284E+01,4.333624E-06
4.247267E+01,4.589151E-06
4.257225E+01,4.829931E-06
4.267501E+01,5.099032E-06
4.277815E+01,5.409638E-06
4.287714E+01,5.651294E-06
4.297678E+01,5.983849E-06
4.307624E+01,6.254233E-06
4.317920E+01,6.534541E-06
4.328288E+01,6.863288E-06
4.338236E+01,7.181851E-06
4.348187E+01,7.464777E-06
4.358146E+01,7.797654E-06
4.368394E+01,8.193067E-06
4.378701E+01,8.520820E-06
4.388668E+01,8.871500E-06
4.398611E+01,9.198881E-06
4.408575E+01,9.637959E-06
4.418869E+01,9.999481E-06
4.429453E+01,1.057121E-05
4.439388E+01,1.089629E-05
4.449371E+01,1.131542E-05
4.459275E+01,1.174165E-05
4.469579E+01,1.216957E-05
4.479879E+01,1.273410E-05
4.489847E+01,1.317263E-05
4.499873E+01,1.354713E-05
