Voltage,Current
3.500121E+01,7.954757E-09
3.510105E+01,7.874502E-09
3.520031E+01,7.899521E-09
3.528923E+01,7.979573E-09
3.539180E+01,8.045972E-09
3.549149E+01,8.108702E-09
3.560598E+01,8.137416E-09
3.569110E+01,8.229258E-09
3.579381E+01,8.305864E-09
3.591159E+01,8.350211E-09
3.599559E+01,8.441140E-09
3.609389E+01,8.521120E-09
3.621029E+01,8.577513E-09
3.629601E+01,8.664342E-09
3.639816E+01,8.762281E-09
3.651643E+01,8.834569E-09
3.659707E+01,8.932383E-09
3.669613E+01,9.028715E-09
3.679851E+01,9.132362E-09
3.690061E+01,9.237747E-09
3.702102E+01,9.337232E-09
3.709828E+01,9.444539E-09
3.719735E+01,9.564455E-09
3.732372E+01,9.709529E-09
3.742664E+01,9.841141E-09
3.752616E+01,9.995002E-09
3.762594E+01,1.015431E-08
3.772598E+01,1.033991E-08
3.782833E+01,1.055160E-08
3.793133E+01,1.079981E-08
3.803083E+01,1.109762E-08
3.813068E+01,1.146240E-08
3.823086E+01,1.195725E-08
3.833384E+01,1.271726E-08
3.843660E+01,1.402461E-08
3.853629E+01,1.664525E-08
3.863525E+01,2.340430E-08
3.873438E+01,4.181920E-08
3.883573E+01,8.870654E-08
3.893803E+01,1.808576E-07
3.904091E+01,3.211372E-07
3.914011E+01,4.934137E-07
3.923905E+01,7.034770E-07
3.934134E+01,9.542578E-07
3.944326E+01,1.251907E-06
3.954600E+01,1.576230E-06
3.964555E+01,1.922734E-06
3.974526E+01,2.309640E-06
3.984835E+01,2.748794E-06
3.994833E+01,3.212553E-06
4.005120E+01,3.707871E-06
4.015061E+01,4.264477E-06
4.025369E+01,4.843262E-06
4.035252E+01,5.429567E-06
4.045222E+01,6.084528E-06
4.055470E+01,6.792977E-06
4.065430E+01,7.518738E-06
4.075750E+01,8.289746E-06
4.085680E+01,9.112756E-06
4.095615E+01,9.935880E-06
4.106172E+01,1.085893E-05
4.116091E+01,1.174229E-05
4.126397E+01,1.271128E-05
4.136343E+01,1.361610E-05
4.146318E+01,1.474969E-05
4.156678E+01,1.583201E-05
4.166640E+01,1.697203E-05
4.176955E+01,1.818763E-05
4.186909E+01,1.939627E-05
4.196890E+01,2.063666E-05
4.207111E+01,2.201578E-05
4.217086E+01,2.348781E-05
4.227377E+01,2.490448E-05
4.237349E+01,2.629061E-05
4.247325E+01,2.792798E-05
4.257298E+01,2.961825E-05
4.267575E+01,3.111561E-05
4.277894E+01,3.284346E-05
4.287796E+01,3.440815E-05
4.297763E+01,3.623978E-05
4.307704E+01,3.792420E-05
4.318001E+01,3.992043E-05
4.328375E+01,4.205505E-05
4.338319E+01,4.394435E-05
4.348279E+01,4.598432E-05
4.358241E+01,4.799222E-05
4.368494E+01,5.033035E-05
4.378800E+01,5.247516E-05
4.388773E+01,5.488457E-05
4.398709E+01,5.747606E-05
4.408678E+01,6.006638E-05
4.418977E+01,6.284592E-05
4.429291E+01,6.534257E-05
4.439220E+01,6.809038E-05
4.449195E+01,7.057074E-05
4.459093E+01,7.355968E-05
4.469385E+01,7.661561E-05
4.479681E+01,7.973773E-05
4.489638E+01,8.307930E-05
4.499658E+01,8.585511E-05
