Voltage,Current
3.500130E+01,5.709230E-09
3.510099E+01,5.616042E-09
3.520029E+01,5.626585E-09
3.529444E+01,7.179434E-09
3.539919E+01,5.654371E-09
3.550599E+01,5.721160E-09
3.560062E+01,5.400481E-09
3.569888E+01,5.790012E-09
3.580893E+01,5.850765E-09
3.590461E+01,5.880449E-09
3.601151E+01,6.002871E-09
3.610326E+01,5.955223E-09
3.621033E+01,6.020580E-09
3.631315E+01,6.071822E-09
3.640857E+01,5.955667E-09
3.651652E+01,6.173390E-09
3.660798E+01,6.207161E-09
3.670742E+01,6.266382E-09
3.681896E+01,6.327188E-09
3.691264E+01,6.363851E-09
3.701214E+01,6.418174E-09
3.711148E+01,6.476538E-09
3.721110E+01,6.535310E-09
3.731412E+01,6.596443E-09
3.742671E+01,6.674670E-09
3.751615E+01,6.718608E-09
3.761573E+01,6.785239E-09
3.771551E+01,6.855365E-09
3.781754E+01,6.931326E-09
3.792020E+01,7.013040E-09
3.803093E+01,7.115990E-09
3.811888E+01,7.188866E-09
3.821849E+01,7.354807E-09
3.832237E+01,7.725541E-09
3.843677E+01,7.707646E-09
3.852098E+01,8.072197E-09
3.861533E+01,8.966681E-09
3.873537E+01,1.214624E-08
3.883799E+01,1.871595E-08
3.893740E+01,3.045145E-08
3.904012E+01,4.720929E-08
3.913916E+01,6.802935E-08
3.923792E+01,9.181342E-08
3.934377E+01,1.220595E-07
3.944308E+01,1.537457E-07
3.954581E+01,1.912911E-07
3.964537E+01,2.322955E-07
3.974518E+01,2.760433E-07
3.984815E+01,3.224106E-07
3.994815E+01,3.761797E-07
4.005098E+01,4.308329E-07
4.015029E+01,4.900087E-07
4.025342E+01,5.491344E-07
4.035226E+01,6.124612E-07
4.045187E+01,6.820833E-07
4.055442E+01,7.586892E-07
4.065401E+01,8.343989E-07
4.075716E+01,9.377575E-07
4.085651E+01,1.003743E-06
4.095890E+01,1.097870E-06
4.106183E+01,1.187855E-06
4.116101E+01,1.297284E-06
4.126413E+01,1.415591E-06
4.136359E+01,1.534229E-06
4.146334E+01,1.650710E-06
4.156683E+01,1.775849E-06
4.166655E+01,1.887034E-06
4.176964E+01,2.005624E-06
4.186926E+01,2.145206E-06
4.196905E+01,2.283634E-06
4.207121E+01,2.425249E-06
4.217098E+01,2.558463E-06
4.227388E+01,2.725164E-06
4.237352E+01,2.924763E-06
4.247345E+01,3.012643E-06
4.257306E+01,3.162849E-06
4.267589E+01,3.349486E-06
4.277905E+01,3.592573E-06
4.287809E+01,3.698310E-06
4.297771E+01,4.005128E-06
4.307721E+01,4.118793E-06
4.318019E+01,4.395377E-06
4.328386E+01,4.545581E-06
4.338341E+01,4.713252E-06
4.348298E+01,4.913631E-06
4.358259E+01,5.191830E-06
4.368513E+01,5.458768E-06
4.378823E+01,5.617022E-06
4.388792E+01,5.821319E-06
4.398736E+01,6.173636E-06
4.408715E+01,6.301402E-06
4.419002E+01,6.751775E-06
4.429317E+01,6.872883E-06
4.439250E+01,7.162928E-06
4.449225E+01,7.561512E-06
4.459126E+01,7.767475E-06
4.469413E+01,8.225889E-06
4.479707E+01,8.505055E-06
4.489660E+01,8.896476E-06
4.499688E+01,9.026320E-06
