Voltage,Current
3.500089E+01,2.201714E-08
3.510068E+01,2.195256E-08
3.519984E+01,2.206047E-08
3.530284E+01,2.221275E-08
3.540570E+01,2.240719E-08
3.550549E+01,2.257244E-08
3.560555E+01,2.278884E-08
3.570530E+01,2.301375E-08
3.580835E+01,2.325789E-08
3.591110E+01,2.351434E-08
3.601092E+01,2.377943E-08
3.611004E+01,2.406389E-08
3.620978E+01,2.435825E-08
3.631272E+01,2.468667E-08
3.641574E+01,2.503694E-08
3.651592E+01,2.539651E-08
3.661568E+01,2.577628E-08
3.671523E+01,2.619636E-08
3.681832E+01,2.665890E-08
3.692070E+01,2.715312E-08
3.702044E+01,2.766244E-08
3.711993E+01,2.823114E-08
3.721976E+01,2.885062E-08
3.732311E+01,2.956971E-08
3.742594E+01,3.036707E-08
3.752552E+01,3.124668E-08
3.762526E+01,3.226518E-08
3.772514E+01,3.345830E-08
3.782750E+01,3.490968E-08
3.793051E+01,3.672039E-08
3.802993E+01,3.904477E-08
3.812963E+01,4.191592E-08
3.822963E+01,4.613041E-08
3.833250E+01,5.282245E-08
3.843486E+01,6.485704E-08
3.853374E+01,8.964427E-08
3.863556E+01,1.556125E-07
3.873483E+01,3.356012E-07
3.883628E+01,7.952974E-07
3.893806E+01,1.689097E-06
3.904092E+01,3.053295E-06
3.914009E+01,4.756582E-06
3.923903E+01,6.798587E-06
3.934142E+01,9.267324E-06
3.944300E+01,1.206975E-05
3.954577E+01,1.525678E-05
3.964532E+01,1.870912E-05
3.974507E+01,2.251445E-05
3.984812E+01,2.679333E-05
3.994812E+01,3.128251E-05
4.005092E+01,3.630361E-05
4.015026E+01,4.151356E-05
4.025341E+01,4.726812E-05
4.035217E+01,5.309892E-05
4.045173E+01,5.937578E-05
4.055435E+01,6.627803E-05
4.065393E+01,7.336087E-05
4.075714E+01,8.108706E-05
4.085638E+01,8.889830E-05
4.095571E+01,9.721754E-05
4.106153E+01,1.065160E-04
4.116076E+01,1.155883E-04
4.126385E+01,1.254285E-04
4.136336E+01,1.354912E-04
4.146317E+01,1.457894E-04
4.156665E+01,1.574408E-04
4.166633E+01,1.687634E-04
4.176936E+01,1.812921E-04
4.186899E+01,1.939697E-04
4.196886E+01,2.069500E-04
4.207106E+01,2.206845E-04
4.217084E+01,2.351251E-04
4.227378E+01,2.505611E-04
4.237344E+01,2.655936E-04
4.247318E+01,2.817503E-04
4.257285E+01,2.983940E-04
4.267563E+01,3.164660E-04
4.277884E+01,3.350617E-04
4.287782E+01,3.541399E-04
4.297755E+01,3.743017E-04
4.307698E+01,3.946530E-04
4.317991E+01,4.170844E-04
4.328364E+01,4.403846E-04
4.338308E+01,4.636441E-04
4.348256E+01,4.878661E-04
4.358221E+01,5.133876E-04
4.368476E+01,5.405187E-04
4.378783E+01,5.692081E-04
4.388751E+01,5.982547E-04
4.398693E+01,6.280414E-04
4.408662E+01,6.606646E-04
4.418956E+01,6.939574E-04
4.429263E+01,7.304536E-04
4.439189E+01,7.669582E-04
4.449156E+01,8.058695E-04
4.459050E+01,8.460684E-04
4.469342E+01,8.898160E-04
4.479639E+01,9.368893E-04
4.489584E+01,9.823941E-04
4.499594E+01,1.032010E-03
