Voltage,Current
3.499995E+01,4.873299E-08
3.509963E+01,4.920295E-08
3.519888E+01,4.978446E-08
3.530193E+01,5.050418E-08
3.540474E+01,5.121028E-08
3.550447E+01,5.199564E-08
3.560450E+01,5.281478E-08
3.570437E+01,5.367525E-08
3.580742E+01,5.462626E-08
3.591013E+01,5.562716E-08
3.600983E+01,5.670337E-08
3.610885E+01,5.793756E-08
3.620861E+01,5.889832E-08
3.631152E+01,6.018154E-08
3.641454E+01,6.155855E-08
3.651467E+01,6.300817E-08
3.661434E+01,6.454548E-08
3.671385E+01,6.620078E-08
3.681697E+01,6.807949E-08
3.691924E+01,7.011960E-08
3.701883E+01,7.230245E-08
3.711848E+01,7.469995E-08
3.721822E+01,7.739538E-08
3.732137E+01,8.053799E-08
3.742413E+01,8.268399E-08
3.752359E+01,8.828783E-08
3.762318E+01,9.260422E-08
3.772169E+01,9.796003E-08
3.782850E+01,1.049993E-07
3.793153E+01,1.133859E-07
3.803091E+01,1.237900E-07
3.813074E+01,1.375800E-07
3.823079E+01,1.570690E-07
3.833377E+01,1.871969E-07
3.843639E+01,2.388903E-07
3.853589E+01,3.397259E-07
3.863436E+01,5.778965E-07
3.873558E+01,1.253384E-06
3.883793E+01,3.089754E-06
3.893652E+01,6.868311E-06
3.904136E+01,1.342305E-05
3.914079E+01,2.182434E-05
3.923995E+01,3.213924E-05
3.934256E+01,4.474049E-05
3.944147E+01,5.867794E-05
3.954379E+01,7.506468E-05
3.964283E+01,9.282930E-05
3.974545E+01,1.131350E-04
3.984866E+01,1.357018E-04
3.994872E+01,1.596172E-04
4.005161E+01,1.864019E-04
4.015099E+01,2.144986E-04
4.025425E+01,2.460062E-04
4.035310E+01,2.783794E-04
4.045272E+01,3.135524E-04
4.055537E+01,3.524481E-04
4.065512E+01,3.930729E-04
4.075846E+01,4.380785E-04
4.085790E+01,4.843213E-04
4.095727E+01,5.339111E-04
4.105997E+01,5.887333E-04
4.115895E+01,6.456099E-04
4.126196E+01,7.086227E-04
4.136118E+01,7.742929E-04
4.146079E+01,8.445958E-04
4.156403E+01,9.236030E-04
4.166350E+01,1.005395E-03
4.176979E+01,1.103428E-03
4.186953E+01,1.199586E-03
4.196930E+01,1.303667E-03
4.207151E+01,1.419576E-03
4.217128E+01,1.543668E-03
4.227420E+01,1.684113E-03
4.237391E+01,1.835093E-03
4.247380E+01,2.002245E-03
4.257330E+01,2.189302E-03
4.267605E+01,2.403163E-03
4.277924E+01,2.648123E-03
4.287818E+01,2.920573E-03
4.297780E+01,3.239258E-03
4.307719E+01,3.616816E-03
4.318010E+01,4.085109E-03
4.328365E+01,4.674410E-03
4.338295E+01,5.434087E-03
4.348222E+01,6.475944E-03
4.358132E+01,8.032228E-03
4.368622E+01,1.146557E-02
4.378913E+01,1.837797E-02
4.388845E+01,3.298295E-02
4.398801E+01,3.322657E-02
4.408786E+01,3.122165E-02
4.419101E+01,3.064539E-02
4.429419E+01,3.056796E-02
4.439357E+01,3.041747E-02
4.449345E+01,3.026316E-02
4.459244E+01,3.003932E-02
4.469546E+01,3.017559E-02
4.479857E+01,3.058221E-02
4.489820E+01,3.077947E-02
4.499845E+01,3.096211E-02
