Voltage,Current
3.500136E+01,6.134889E-09
3.510111E+01,5.959113E-09
3.520032E+01,6.032671E-09
3.529427E+01,6.063566E-09
3.539703E+01,6.100963E-09
3.550605E+01,6.132157E-09
3.560611E+01,6.167456E-09
3.570586E+01,6.201778E-09
3.580897E+01,6.237445E-09
3.591169E+01,6.276288E-09
3.601146E+01,6.315268E-09
3.610107E+01,6.344783E-09
3.620065E+01,6.391188E-09
3.630340E+01,6.438692E-09
3.641640E+01,6.486241E-09
3.651660E+01,6.528448E-09
3.661634E+01,6.569385E-09
3.671595E+01,6.613491E-09
3.681907E+01,6.660403E-09
3.692145E+01,6.709362E-09
3.702110E+01,6.754564E-09
3.712073E+01,6.803427E-09
3.722047E+01,6.854093E-09
3.732376E+01,6.908362E-09
3.742666E+01,6.963037E-09
3.752629E+01,7.018386E-09
3.762598E+01,7.129244E-09
3.772604E+01,7.108415E-09
3.781571E+01,7.166924E-09
3.791844E+01,7.226800E-09
3.801812E+01,7.270152E-09
3.813086E+01,7.373019E-09
3.823094E+01,7.438583E-09
3.833402E+01,7.507037E-09
3.843680E+01,7.580848E-09
3.853659E+01,7.648816E-09
3.863573E+01,7.725585E-09
3.873551E+01,7.813363E-09
3.883839E+01,7.937997E-09
3.892216E+01,8.095110E-09
3.902384E+01,8.386806E-09
3.914120E+01,8.856956E-09
3.924075E+01,9.328465E-09
3.934381E+01,9.925903E-09
3.944312E+01,1.049034E-08
3.954596E+01,1.122803E-08
3.964564E+01,1.198328E-08
3.974549E+01,1.282515E-08
3.984862E+01,1.364624E-08
3.994883E+01,1.458088E-08
4.005172E+01,1.557031E-08
4.015120E+01,1.648247E-08
4.025451E+01,1.764428E-08
4.035346E+01,1.880466E-08
4.045320E+01,1.996715E-08
4.055586E+01,2.119243E-08
4.065576E+01,2.248772E-08
4.075911E+01,2.382804E-08
4.085859E+01,2.516448E-08
4.095814E+01,2.652315E-08
4.106107E+01,2.808180E-08
4.116022E+01,2.950029E-08
4.126329E+01,3.103082E-08
4.136282E+01,3.290204E-08
4.146258E+01,3.461237E-08
4.156609E+01,3.614296E-08
4.166569E+01,3.787791E-08
4.176875E+01,3.985625E-08
4.186834E+01,4.161260E-08
4.196804E+01,4.361375E-08
4.207027E+01,4.559488E-08
4.217001E+01,4.753797E-08
4.227294E+01,4.964162E-08
4.237265E+01,5.175843E-08
4.247244E+01,5.411228E-08
4.257206E+01,5.632059E-08
4.267475E+01,5.895585E-08
4.277793E+01,6.128172E-08
4.287693E+01,6.384020E-08
4.297661E+01,6.644024E-08
4.307597E+01,6.882968E-08
4.317898E+01,7.201085E-08
4.328272E+01,7.439142E-08
4.338215E+01,7.758324E-08
4.348173E+01,8.082801E-08
4.358128E+01,8.370714E-08
4.368370E+01,8.675882E-08
4.378666E+01,9.006587E-08
4.388641E+01,9.350696E-08
4.398891E+01,9.687869E-08
4.408869E+01,1.005269E-07
4.419173E+01,1.040575E-07
4.429492E+01,1.087525E-07
4.439425E+01,1.126024E-07
4.449413E+01,1.168019E-07
4.459315E+01,1.210819E-07
4.469615E+01,1.253746E-07
4.479923E+01,1.305183E-07
4.489901E+01,1.352505E-07
4.499928E+01,1.402439E-07
