year 2026
month 04
readout HGCROC
facility CERN
beam-line injection
#Run Number,type,bias Voltage,V_br,machine gun,dead time,phase,nrKCU,nrAsic,RF,CF,CC,CFcomp,mode,value,location,comments
1,injection,0,38.6,7,0,1,0,4,4,8,4,8,0,250,FOCALTests-DefSettingsShihai-ORNL04-05/test_wo_detector/302_ToTCalib_Target400/205_Injection_Low/205_Injection_20260424_165941/205_Injection_asic4_injdac250_mg7_pack8_chn76,
2,injection,0,38.6,7,0,1,0,4,4,8,4,8,0,100,FOCALTests-DefSettingsShihai-ORNL04-05/test_wo_detector/302_ToTCalib_Target400/205_Injection_Low/205_Injection_20260424_153821/205_Injection_asic4_injdac100_mg7_pack8_chn76,
3,injection,0,38.6,7,0,1,0,4,4,8,4,8,0,400,FOCALTests-DefSettingsShihai-ORNL04-05/test_wo_detector/302_ToTCalib_Target400/205_Injection_Low/205_Injection_20260424_153054/205_Injection_asic4_injdac400_mg7_pack8_chn76,
4,injection,0,38.6,7,0,1,0,4,10,7,5,1,1,400,FOCALTests-settings_10_7_5_1_ORNL03-Valpo01/205_Injection_High/205_Injection_20260425_210504/205_Injection_asic4_injdac400_mg7_pack8_chn76,
5,injection,0,38.6,7,0,1,0,4,10,7,5,1,0,250,FOCALTests-settings_10_7_5_1_ORNL03-Valpo01/205_Injection_Low/205_Injection_20260425_205436/205_Injection_asic4_injdac250_mg7_pack8_chn76,
6,injection,0,38.6,7,0,1,0,4,11,7,5,1,1,400,FOCALTests-settings_11_7_5_1_ORNL03-Valpo01/205_Injection_High/205_Injection_20260426_120805/205_Injection_asic4_injdac400_mg7_pack8_chn76,
7,injection,0,38.6,7,0,1,0,4,11,7,5,1,0,250,FOCALTests-settings_11_7_5_1_ORNL03-Valpo01/205_Injection_Low/205_Injection_20260426_115343/205_Injection_asic4_injdac250_mg7_pack8_chn76,
8,injection,0,38.6,7,0,1,0,4,3,7,5,12,1,400,FOCALTests-settings_3_7_5_12_ORNL03-Valpo01/205_Injection_High/205_Injection_20260427_045126/205_Injection_asic4_injdac400_mg7_pack8_chn76,
9,injection,0,38.6,7,0,1,0,4,3,7,5,12,0,250,FOCALTests-settings_3_7_5_12_ORNL03-Valpo01/205_Injection_Low/205_Injection_20260427_044500/205_Injection_asic4_injdac250_mg7_pack8_chn76,
10,injection,0,38.6,7,0,1,0,4,3,7,5,1,1,400,FOCALTests-settings_3_7_5_1_ORNL03-Valpo01/205_Injection_High/205_Injection_20260425_204143/205_Injection_asic4_injdac400_mg7_pack8_chn76,
