year 2026
month 06
readout HGCROC
facility CERN-SPS
beam-line H4
detector FoCal-H
Run Number,beam species,pdg,beam energy (GeV),bias Voltage ,V_br,trigger delay,machine gun number,Table Position x,Table Position (y),dead time,phase,nrKCU,nrAsic,temp,RF,CF,CC,CFcomp,comments
154,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
155,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
156,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
157,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
158,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
159,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
160,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
161,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
162,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,no insulation L1Trigger offset 8
163,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
164,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
165,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
166,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
167,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
168,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
169,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
170,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
171,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,no insulation L1Trigger offset 8
175,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
176,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
177,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
178,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
179,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
180,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
181,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
182,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
183,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,5,with insulation L1Trigger offset 8
184,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
186,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
187,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
188,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
189,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
190,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
191,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
192,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
193,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,20,5,8,5,3,with insulation L1Trigger offset 8
205,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
206,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
207,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
208,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
209,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
210,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
211,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
212,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
213,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,5,with insulation L1Trigger offset 8
214,laser,22,1000,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
215,laser,22,520,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
216,laser,22,580,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
217,laser,22,640,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
218,laser,22,700,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
219,laser,22,760,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
220,laser,22,820,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
221,laser,22,880,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
222,laser,22,940,43,38.6,10,15,0.0,0.0,100,12,1,3,-24,5,8,5,3,with insulation L1Trigger offset 8
