#layer  #assembly #HGCROC board   #layer in HGCROC unit # Module Number
0   F001    0 0 0
1   F006    0 1 0
2   F011    0 2 0
3   F016    0 3 0
4   F021    0 4 0
5   F031    0 5 0
6   F041    0 6 0
7   F051    0 7 0
0   F061    4 0 1
1   F066    4 1 1
2   F071    4 2 1
3   F076    4 3 1
4   F081    4 4 1
5   F091    4 5 1
6   F101    4 6 1
7   F111    4 7 1
0   F121    1 0 2
1   F126    1 1 2
2   F131    1 2 2
3   F136    1 3 2
4   F141    1 4 2
5   F151    1 5 2
6   F161    1 6 2
7   F171    1 7 2
0   F181    5 0 3
1   F186    5 1 3
2   F191    5 2 3
3   F196    5 3 3
4   F201    5 4 3
5   F211    5 5 3
6   F221    5 6 3
7   F231    5 7 3
0   F241    3 0 4
1   F246    3 1 4
2   F251    3 2 4
3   F256    3 3 4
4   F261    3 4 4
5   F271    3 5 4
6   F281    3 6 4
7   F291    3 7 4
0   F301    7 0 5
1   F306    7 1 5
2   F311    7 2 5
3   F316    7 3 5
4   F321    7 4 5
5   F331    7 5 5
6   F341    7 6 5
7   F351    7 7 5

